id,atividade_economica
1,Desenvolvimento de software e aplicativos
2,Computação em nuvem
3,Inteligência artificial e aprendizado de máquina
4,Comércio eletrônico
5,Telecomunicações
6,Produção de semicondutores
7,Energia renovável (solar eólica hidrelétrica)
8,Petróleo e gás
9,Exploração espacial comercial
10,Biotecnologia
11,Indústria farmacêutica
12,Dispositivos médicos
13,Telemedicina
14,Tecnologia financeira (Fintech)
15,Bancos de investimento
16,Seguros
17,Gestão de ativos
18,Consultoria empresarial
19,Marketing digital
20,Análise de dados (Big Data)
21,Cibersegurança
22,Automação industrial
23,Robótica
24,Internet das Coisas (IoT)
25,Realidade virtual e aumentada
26,Streaming de mídia
27,Produção de conteúdo digital
28,Redes sociais
29,Jogos eletrônicos
30,Turismo e hospitalidade
31,Transporte aéreo
32,Logística e transporte de mercadorias
33,Comércio varejista
34,Agricultura de precisão
35,Produção alimentícia
36,Construção civil
37,Gestão imobiliária
38,Arquitetura e design
39,Energia nuclear
40,Serviços educacionais
41,E-learning
42,Saúde pública
43,Fabricação automotiva
44,Mobilidade elétrica
45,Serviços de compartilhamento (ride-sharing co-working)
46,Gestão de resíduos
47,Tratamento de água
48,Mineração
49,Metalurgia
50,Indústria química
51,Produção têxtil
52,Moda e design
53,Cosméticos e cuidados pessoais
54,Publicidade
55,Relações públicas
56,Comunicação corporativa
57,Pesquisa e desenvolvimento
58,Gestão de propriedade intelectual
59,Serviços jurídicos
60,Contabilidade e auditoria
61,Indústria cinematográfica
62,Produção musical
63,Artes performáticas
64,Publicação de livros e periódicos
65,Manufatura avançada
66,Impressão 3D
67,Nanotecnologia
68,Materiais avançados
69,Indústria aeroespacial
70,Defesa e segurança
71,Serviços governamentais
72,Diplomacia internacional
73,Organizações não-governamentais
74,Filantropia
75,Economia circular
76,Restauração ambiental
77,Conservação de biodiversidade
78,Aquicultura
79,Produção de bebidas
80,Processamento de alimentos
81,Hotelaria
82,Serviços de catering
83,Gestão de eventos
84,Esportes profissionais
85,Condicionamento físico e bem-estar
86,Spa e tratamentos estéticos
87,Medicina alternativa
88,Psicologia e saúde mental
89,Cuidados para idosos
90,Desenvolvimento infantil
91,Serviços veterinários
92,Produtos para animais de estimação
93,Joalheria
94,Artesanato
95,Antiguidades e colecionáveis
96,Museologia
97,Gestão cultural
98,Serviços religiosos
99,Transporte marítimo
100,Economia criativa
101,Design gráfico
102,Fotografia profissional
103,Produção de animações
104,Edição de vídeo
105,Jornalismo
106,Radiodifusão
107,Televisão
108,Produção de podcasts
109,Consultoria em sustentabilidade
110,Engenharia ambiental
111,Geologia e geofísica
112,Topografia e cartografia
113,Engenharia civil
114,Engenharia elétrica
115,Engenharia mecânica
116,Engenharia de software
117,Engenharia de materiais
118,Engenharia aeroespacial
119,Engenharia naval
120,Engenharia de minas
121,Fabricação de máquinas e equipamentos
122,Manutenção industrial
123,Instalação de sistemas elétricos
124,Instalação de sistemas hidráulicos
125,Serviços de climatização
126,Fabricação de móveis
127,Design de interiores
128,Manutenção de veículos
129,Fabricação de peças automotivas
130,Transporte ferroviário
131,Transporte rodoviário
132,Serviços de entrega expressa
133,Armazenamento e estocagem
134,Gestão de cadeias de suprimento
135,Comércio atacadista
136,Exportação e importação
137,Franquias
138,Serviços de limpeza
139,Manutenção predial
140,Segurança privada
141,Serviços de vigilância eletrônica
142,Controle de pragas
143,Jardinagem e paisagismo
144,Serviços de lavanderia
145,Reparos domésticos
146,Serviços de encanamento
147,Serviços de eletricista
148,Fabricação de eletrodomésticos
149,Fabricação de eletrônicos de consumo
150,Comércio de eletrônicos
151,Fabricação de brinquedos
152,Comércio de artigos esportivos
153,Fabricação de equipamentos esportivos
154,Organização de competições esportivas
155,Treinamento esportivo
156,Serviços de coaching
157,Consultoria em recursos humanos
158,Recrutamento e seleção
159,Treinamento corporativo
160,Gestão de benefícios
161,Serviços de folha de pagamento
162,Consultoria tributária
163,Planejamento financeiro
164,Corretagem de imóveis
165,Leilões
166,Organização de feiras e exposições
167,Serviços de tradução
168,Serviços de interpretação
169,Edição de textos
170,Produção de materiais educacionais
171,Tutoria acadêmica
172,Ensino de idiomas
173,Educação técnica
174,Educação profissionalizante
175,Pesquisa de mercado
176,Análise de tendências
177,Consultoria em inovação
178,Gestão de projetos
179,Planejamento estratégico
180,Transformação digital
181,Serviços de TI
182,Manutenção de redes
183,Consultoria em segurança da informação
184,Desenvolvimento de jogos
185,Produção de softwares educativos
186,Sistemas de gestão empresarial (ERP)
187,Automação de processos
188,Consultoria em logística
189,Serviços portuários
190,Construção naval
191,Fabricação de aeronaves
192,Manutenção aeroespacial
193,Serviços de aviação
194,Controle de tráfego aéreo
195,Turismo de aventura
196,Turismo cultural
197,Turismo ecológico
198,Agências de viagem
199,Guias turísticos
200,Produção de artes visuais
201,Galerias de arte
202,Leilões de arte
203,Conservação de obras de arte
204,Fabricação de instrumentos musicais
205,Escolas de música
206,Ensino de dança
207,Produção teatral
208,Organização de festivais
209,Serviços de som e iluminação
210,Fabricação de equipamentos médicos
211,Distribuição de medicamentos
212,Farmácias
213,Laboratórios de análises clínicas
214,Clínicas de diagnóstico por imagem
215,Fisioterapia
216,Terapia ocupacional
217,Fonoaudiologia
218,Nutrição e dietética
219,Odontologia
220,Ortodontia
221,Cirurgia plástica
222,Medicina esportiva
223,Medicina do trabalho
224,Saúde ocupacional
225,Produção de equipamentos de segurança
226,Fabricação de uniformes
227,Serviços de costura
228,Fabricação de calçados
229,Comércio de calçados
230,Fabricação de acessórios de moda
231,Comércio de acessórios de moda
232,Fabricação de papel
233,Indústria gráfica
234,Embalagens
235,Fabricação de plásticos
236,Reciclagem de plásticos
237,Reciclagem de metais
238,Reciclagem de papel
239,Reciclagem de vidro
240,Gestão de resíduos perigosos
241,Produção de fertilizantes
242,Fabricação de pesticidas
243,Agricultura orgânica
244,Produção de sementes
245,Criação de gado
246,Avicultura
247,Suinocultura
248,Piscicultura
249,Apicultura
250,Silvicultura
251,Extração de madeira
252,Produção de celulose
253,Fabricação de produtos de higiene
254,Distribuição de produtos de higiene
255,Fabricação de perfumes
256,Comércio de perfumes
257,Produção de velas
258,Fabricação de produtos de limpeza
259,Comércio de produtos de limpeza
260,Serviços de barbearia
261,Salões de beleza
262,Estúdios de tatuagem
263,Serviços de manicure
264,Produção de eventos corporativos
265,Produção de casamentos
266,Serviços de fotografia de eventos
267,Aluguel de equipamentos para eventos
268,Fabricação de fogos de artifício
269,Serviços de pirotecnia
270,Produção de softwares de segurança
271,Monitoramento remoto
272,Serviços de detetive particular
273,Consultoria em políticas públicas
274,Planejamento urbano
275,Arquitetura paisagística
276,Gestão de parques e reservas
277,Serviços de meteorologia
278,Pesquisa oceânica
279,Exploração de recursos marinhos
280,Produção de sal
281,Fabricação de vidros
282,Fabricação de cerâmicas
283,Fabricação de cimento
284,Fabricação de tintas
285,Comércio de materiais de construção
286,Fabricação de ferramentas
287,Comércio de ferramentas
288,Fabricação de equipamentos de jardinagem
289,Comércio de equipamentos de jardinagem
290,Serviços de reparo de eletrônicos
291,Fabricação de baterias
292,Comércio de baterias
293,Produção de energia hidrogênio
294,Fabricação de turbinas
295,Manutenção de turbinas
296,Produção de biocombustíveis
297,Consultoria em energia
298,Serviços de auditoria energética
299,Gestão de fundos de investimento
300,Corretagem de valores
